,total_sales,date
d_1292,1814,2014-08-12
d_1293,1740,2014-08-13
d_1294,1659,2014-08-14
d_1295,2058,2014-08-15
d_1296,2201,2014-08-16
d_1297,2396,2014-08-17
d_1298,1939,2014-08-18
d_1299,1682,2014-08-19
d_1300,1417,2014-08-20
d_1301,1685,2014-08-21
d_1302,2210,2014-08-22
d_1303,2450,2014-08-23
d_1304,2918,2014-08-24
d_1305,2169,2014-08-25
d_1306,1735,2014-08-26
d_1307,1548,2014-08-27
d_1308,1475,2014-08-28
d_1309,1590,2014-08-29
d_1310,2017,2014-08-30
d_1311,1675,2014-08-31
d_1312,1977,2014-09-01
d_1313,1525,2014-09-02
d_1314,1633,2014-09-03
d_1315,1370,2014-09-04
d_1316,1657,2014-09-05
d_1317,2081,2014-09-06
d_1318,2401,2014-09-07
d_1319,1947,2014-09-08
d_1320,1736,2014-09-09
d_1321,1496,2014-09-10
d_1322,1836,2014-09-11
d_1323,1567,2014-09-12
d_1324,2359,2014-09-13
d_1325,2073,2014-09-14
d_1326,1748,2014-09-15
d_1327,1606,2014-09-16
d_1328,1269,2014-09-17
d_1329,1183,2014-09-18
d_1330,1658,2014-09-19
d_1331,1861,2014-09-20
d_1332,2425,2014-09-21
d_1333,1711,2014-09-22
d_1334,1333,2014-09-23
d_1335,1540,2014-09-24
d_1336,1324,2014-09-25
d_1337,1491,2014-09-26
d_1338,1899,2014-09-27
d_1339,2159,2014-09-28
d_1340,1580,2014-09-29
d_1341,1220,2014-09-30
d_1342,1644,2014-10-01
d_1343,1591,2014-10-02
d_1344,1835,2014-10-03
d_1345,1948,2014-10-04
d_1346,2257,2014-10-05
d_1347,1707,2014-10-06
d_1348,1711,2014-10-07
d_1349,1370,2014-10-08
d_1350,1678,2014-10-09
d_1351,1545,2014-10-10
d_1352,1968,2014-10-11
d_1353,2100,2014-10-12
d_1354,1766,2014-10-13
d_1355,1505,2014-10-14
d_1356,1638,2014-10-15
d_1357,1275,2014-10-16
d_1358,1426,2014-10-17
d_1359,1863,2014-10-18
d_1360,1946,2014-10-19
d_1361,1513,2014-10-20
d_1362,1256,2014-10-21
d_1363,1343,2014-10-22
d_1364,1117,2014-10-23
d_1365,1308,2014-10-24
d_1366,1617,2014-10-25
d_1367,1810,2014-10-26
d_1368,1481,2014-10-27
d_1369,1391,2014-10-28
d_1370,1192,2014-10-29
d_1371,1407,2014-10-30
d_1372,1351,2014-10-31
d_1373,1777,2014-11-01
d_1374,1843,2014-11-02
d_1375,1682,2014-11-03
d_1376,1220,2014-11-04
d_1377,1347,2014-11-05
d_1378,1479,2014-11-06
d_1379,1484,2014-11-07
d_1380,1541,2014-11-08
d_1381,1977,2014-11-09
d_1382,1411,2014-11-10
d_1383,1331,2014-11-11
d_1384,1342,2014-11-12
d_1385,1067,2014-11-13
d_1386,1287,2014-11-14
d_1387,1743,2014-11-15
d_1388,1841,2014-11-16
d_1389,1415,2014-11-17
d_1390,1208,2014-11-18
d_1391,1200,2014-11-19
d_1392,1246,2014-11-20
d_1393,1151,2014-11-21
d_1394,1686,2014-11-22
d_1395,1819,2014-11-23
d_1396,1536,2014-11-24
d_1397,1446,2014-11-25
d_1398,1822,2014-11-26
d_1399,1306,2014-11-27
d_1400,1160,2014-11-28
d_1401,1391,2014-11-29
d_1402,1616,2014-11-30
d_1403,1422,2014-12-01
d_1404,1172,2014-12-02
d_1405,1263,2014-12-03
d_1406,883,2014-12-04
d_1407,1482,2014-12-05
d_1408,1650,2014-12-06
d_1409,1918,2014-12-07
d_1410,1375,2014-12-08
d_1411,1370,2014-12-09
d_1412,1209,2014-12-10
d_1413,1187,2014-12-11
d_1414,1238,2014-12-12
d_1415,1578,2014-12-13
d_1416,1754,2014-12-14
d_1417,1729,2014-12-15
d_1418,1273,2014-12-16
d_1419,1362,2014-12-17
d_1420,1628,2014-12-18
d_1421,1253,2014-12-19
d_1422,1494,2014-12-20
d_1423,1486,2014-12-21
d_1424,1423,2014-12-22
d_1425,1366,2014-12-23
d_1426,1410,2014-12-24
d_1427,4,2014-12-25
d_1428,1456,2014-12-26
d_1429,1275,2014-12-27
d_1430,1210,2014-12-28
d_1431,1257,2014-12-29
d_1432,1222,2014-12-30
d_1433,1415,2014-12-31
d_1434,1273,2015-01-01
d_1435,1427,2015-01-02
d_1436,1484,2015-01-03
d_1437,1795,2015-01-04
d_1438,1708,2015-01-05
d_1439,1671,2015-01-06
d_1440,1539,2015-01-07
d_1441,975,2015-01-08
d_1442,1359,2015-01-09
d_1443,1702,2015-01-10
d_1444,1812,2015-01-11
d_1445,1625,2015-01-12
d_1446,1403,2015-01-13
d_1447,1232,2015-01-14
d_1448,1362,2015-01-15
d_1449,1394,2015-01-16
d_1450,1827,2015-01-17
d_1451,1773,2015-01-18
d_1452,1568,2015-01-19
d_1453,1244,2015-01-20
d_1454,1220,2015-01-21
d_1455,876,2015-01-22
d_1456,1349,2015-01-23
d_1457,1522,2015-01-24
d_1458,1704,2015-01-25
d_1459,1389,2015-01-26
d_1460,1315,2015-01-27
d_1461,1312,2015-01-28
d_1462,1071,2015-01-29
d_1463,1420,2015-01-30
d_1464,1766,2015-01-31
d_1465,2271,2015-02-01
d_1466,1390,2015-02-02
d_1467,1448,2015-02-03
d_1468,1425,2015-02-04
d_1469,1473,2015-02-05
d_1470,1522,2015-02-06
d_1471,2035,2015-02-07
d_1472,2048,2015-02-08
d_1473,1913,2015-02-09
d_1474,1513,2015-02-10
d_1475,1804,2015-02-11
d_1476,1719,2015-02-12
d_1477,1726,2015-02-13
d_1478,1700,2015-02-14
d_1479,2011,2015-02-15
d_1480,1604,2015-02-16
d_1481,1292,2015-02-17
d_1482,1293,2015-02-18
d_1483,1239,2015-02-19
d_1484,1372,2015-02-20
d_1485,1688,2015-02-21
d_1486,1880,2015-02-22
d_1487,1425,2015-02-23
d_1488,1359,2015-02-24
d_1489,1265,2015-02-25
d_1490,1240,2015-02-26
d_1491,1221,2015-02-27
d_1492,1687,2015-02-28
d_1493,2052,2015-03-01
d_1494,1761,2015-03-02
d_1495,1695,2015-03-03
d_1496,1417,2015-03-04
d_1497,1403,2015-03-05
d_1498,1544,2015-03-06
d_1499,1821,2015-03-07
d_1500,1766,2015-03-08
d_1501,1625,2015-03-09
d_1502,1624,2015-03-10
d_1503,1354,2015-03-11
d_1504,1672,2015-03-12
d_1505,1612,2015-03-13
d_1506,1757,2015-03-14
d_1507,1990,2015-03-15
d_1508,1734,2015-03-16
d_1509,1515,2015-03-17
d_1510,1444,2015-03-18
d_1511,1334,2015-03-19
d_1512,1399,2015-03-20
d_1513,1639,2015-03-21
d_1514,1839,2015-03-22
d_1515,1437,2015-03-23
d_1516,1527,2015-03-24
d_1517,1369,2015-03-25
d_1518,1211,2015-03-26
d_1519,1366,2015-03-27
d_1520,1626,2015-03-28
d_1521,1899,2015-03-29
d_1522,1695,2015-03-30
d_1523,1507,2015-03-31
d_1524,1768,2015-04-01
d_1525,1520,2015-04-02
d_1526,2036,2015-04-03
d_1527,2072,2015-04-04
d_1528,1781,2015-04-05
d_1529,1720,2015-04-06
d_1530,1797,2015-04-07
d_1531,1556,2015-04-08
d_1532,1715,2015-04-09
d_1533,1504,2015-04-10
d_1534,1801,2015-04-11
d_1535,2116,2015-04-12
d_1536,1931,2015-04-13
d_1537,1336,2015-04-14
d_1538,1614,2015-04-15
d_1539,1421,2015-04-16
d_1540,1643,2015-04-17
d_1541,1899,2015-04-18
d_1542,1847,2015-04-19
d_1543,1663,2015-04-20
d_1544,1443,2015-04-21
d_1545,1423,2015-04-22
d_1546,1183,2015-04-23
d_1547,1630,2015-04-24
d_1548,1853,2015-04-25
d_1549,1950,2015-04-26
d_1550,1643,2015-04-27
d_1551,1455,2015-04-28
d_1552,1453,2015-04-29
d_1553,1537,2015-04-30
d_1554,2122,2015-05-01
d_1555,2214,2015-05-02
d_1556,2208,2015-05-03
d_1557,1766,2015-05-04
d_1558,1538,2015-05-05
d_1559,1648,2015-05-06
d_1560,1858,2015-05-07
d_1561,1408,2015-05-08
d_1562,2311,2015-05-09
d_1563,1989,2015-05-10
d_1564,1969,2015-05-11
d_1565,1723,2015-05-12
d_1566,1687,2015-05-13
d_1567,1621,2015-05-14
d_1568,1587,2015-05-15
d_1569,2006,2015-05-16
d_1570,1857,2015-05-17
d_1571,1807,2015-05-18
d_1572,1423,2015-05-19
d_1573,1378,2015-05-20
d_1574,1237,2015-05-21
d_1575,1467,2015-05-22
d_1576,1701,2015-05-23
d_1577,1485,2015-05-24
d_1578,1698,2015-05-25
d_1579,1298,2015-05-26
d_1580,1405,2015-05-27
d_1581,1357,2015-05-28
d_1582,1452,2015-05-29
d_1583,1501,2015-05-30
d_1584,1776,2015-05-31
d_1585,1826,2015-06-01
d_1586,1469,2015-06-02
d_1587,1670,2015-06-03
d_1588,1598,2015-06-04
d_1589,1961,2015-06-05
d_1590,2114,2015-06-06
d_1591,2509,2015-06-07
d_1592,1828,2015-06-08
d_1593,1678,2015-06-09
d_1594,1516,2015-06-10
d_1595,1702,2015-06-11
d_1596,1742,2015-06-12
d_1597,1971,2015-06-13
d_1598,2233,2015-06-14
d_1599,4027,2015-06-15
d_1600,1088,2015-06-16
d_1601,1103,2015-06-17
d_1602,1320,2015-06-18
d_1603,1543,2015-06-19
d_1604,1811,2015-06-20
d_1605,1887,2015-06-21
d_1606,1529,2015-06-22
d_1607,1378,2015-06-23
d_1608,1435,2015-06-24
d_1609,1361,2015-06-25
d_1610,1509,2015-06-26
d_1611,1796,2015-06-27
d_1612,1920,2015-06-28
d_1613,1501,2015-06-29
d_1614,1129,2015-06-30
d_1615,1612,2015-07-01
d_1616,1789,2015-07-02
d_1617,2152,2015-07-03
d_1618,1905,2015-07-04
d_1619,2042,2015-07-05
d_1620,1900,2015-07-06
d_1621,1765,2015-07-07
d_1622,1514,2015-07-08
d_1623,1879,2015-07-09
d_1624,1692,2015-07-10
d_1625,2097,2015-07-11
d_1626,2415,2015-07-12
d_1627,2132,2015-07-13
d_1628,1713,2015-07-14
d_1629,1774,2015-07-15
d_1630,1587,2015-07-16
d_1631,1961,2015-07-17
d_1632,2135,2015-07-18
d_1633,2406,2015-07-19
d_1634,1899,2015-07-20
d_1635,1580,2015-07-21
d_1636,1417,2015-07-22
d_1637,1618,2015-07-23
d_1638,1794,2015-07-24
d_1639,2039,2015-07-25
d_1640,2096,2015-07-26
d_1641,1564,2015-07-27
d_1642,1558,2015-07-28
d_1643,1445,2015-07-29
d_1644,1327,2015-07-30
d_1645,1744,2015-07-31
d_1646,2207,2015-08-01
d_1647,2447,2015-08-02
d_1648,2283,2015-08-03
d_1649,1639,2015-08-04
d_1650,1798,2015-08-05
d_1651,1768,2015-08-06
d_1652,1938,2015-08-07
d_1653,2089,2015-08-08
d_1654,2478,2015-08-09
d_1655,1855,2015-08-10
d_1656,1648,2015-08-11
d_1657,1735,2015-08-12
d_1658,1689,2015-08-13
d_1659,1650,2015-08-14
d_1660,2130,2015-08-15
d_1661,2080,2015-08-16
d_1662,1667,2015-08-17
d_1663,1458,2015-08-18
d_1664,1206,2015-08-19
d_1665,1235,2015-08-20
d_1666,1593,2015-08-21
d_1667,1742,2015-08-22
d_1668,2365,2015-08-23
d_1669,1732,2015-08-24
d_1670,1523,2015-08-25
d_1671,1305,2015-08-26
d_1672,1377,2015-08-27
d_1673,1457,2015-08-28
d_1674,1641,2015-08-29
d_1675,2027,2015-08-30
d_1676,1376,2015-08-31
d_1677,1563,2015-09-01
d_1678,1378,2015-09-02
d_1679,1685,2015-09-03
d_1680,1392,2015-09-04
d_1681,1837,2015-09-05
d_1682,1908,2015-09-06
d_1683,2127,2015-09-07
d_1684,1491,2015-09-08
d_1685,1469,2015-09-09
d_1686,1308,2015-09-10
d_1687,1456,2015-09-11
d_1688,2046,2015-09-12
d_1689,2428,2015-09-13
d_1690,1582,2015-09-14
d_1691,1544,2015-09-15
d_1692,1440,2015-09-16
d_1693,1334,2015-09-17
d_1694,1517,2015-09-18
d_1695,1837,2015-09-19
d_1696,2280,2015-09-20
d_1697,1527,2015-09-21
d_1698,1351,2015-09-22
d_1699,1438,2015-09-23
d_1700,1542,2015-09-24
d_1701,1355,2015-09-25
d_1702,1776,2015-09-26
d_1703,1846,2015-09-27
d_1704,1300,2015-09-28
d_1705,1232,2015-09-29
d_1706,1136,2015-09-30
d_1707,1659,2015-10-01
d_1708,1659,2015-10-02
d_1709,1834,2015-10-03
d_1710,2153,2015-10-04
d_1711,2023,2015-10-05
d_1712,1730,2015-10-06
d_1713,1749,2015-10-07
d_1714,1568,2015-10-08
d_1715,1648,2015-10-09
d_1716,1833,2015-10-10
d_1717,2188,2015-10-11
d_1718,1865,2015-10-12
d_1719,1644,2015-10-13
d_1720,1018,2015-10-14
d_1721,1726,2015-10-15
d_1722,1485,2015-10-16
d_1723,1962,2015-10-17
d_1724,1953,2015-10-18
d_1725,1552,2015-10-19
d_1726,1445,2015-10-20
d_1727,1295,2015-10-21
d_1728,1444,2015-10-22
d_1729,1664,2015-10-23
d_1730,1716,2015-10-24
d_1731,1673,2015-10-25
d_1732,1523,2015-10-26
d_1733,1253,2015-10-27
d_1734,1235,2015-10-28
d_1735,1269,2015-10-29
d_1736,1412,2015-10-30
d_1737,1383,2015-10-31
d_1738,1892,2015-11-01
d_1739,1516,2015-11-02
d_1740,1487,2015-11-03
d_1741,1295,2015-11-04
d_1742,1274,2015-11-05
d_1743,1501,2015-11-06
d_1744,1799,2015-11-07
d_1745,1832,2015-11-08
d_1746,1684,2015-11-09
d_1747,1249,2015-11-10
d_1748,1283,2015-11-11
d_1749,1413,2015-11-12
d_1750,1482,2015-11-13
d_1751,1818,2015-11-14
d_1752,2034,2015-11-15
d_1753,1446,2015-11-16
d_1754,1142,2015-11-17
d_1755,1379,2015-11-18
d_1756,1290,2015-11-19
d_1757,1352,2015-11-20
d_1758,1498,2015-11-21
d_1759,1701,2015-11-22
d_1760,1406,2015-11-23
d_1761,1429,2015-11-24
d_1762,1848,2015-11-25
d_1763,1303,2015-11-26
d_1764,1021,2015-11-27
d_1765,1301,2015-11-28
d_1766,1322,2015-11-29
d_1767,1218,2015-11-30
d_1768,1485,2015-12-01
d_1769,1247,2015-12-02
d_1770,1426,2015-12-03
d_1771,1239,2015-12-04
d_1772,1549,2015-12-05
d_1773,1726,2015-12-06
d_1774,1545,2015-12-07
d_1775,1213,2015-12-08
d_1776,1254,2015-12-09
d_1777,1237,2015-12-10
d_1778,1389,2015-12-11
d_1779,1590,2015-12-12
d_1780,1839,2015-12-13
d_1781,1527,2015-12-14
d_1782,1559,2015-12-15
d_1783,1565,2015-12-16
d_1784,1679,2015-12-17
d_1785,1398,2015-12-18
d_1786,1348,2015-12-19
d_1787,1420,2015-12-20
d_1788,1336,2015-12-21
d_1789,1437,2015-12-22
d_1790,1602,2015-12-23
d_1791,1729,2015-12-24
d_1792,2,2015-12-25
d_1793,1457,2015-12-26
d_1794,1114,2015-12-27
d_1795,1092,2015-12-28
d_1796,1191,2015-12-29
d_1797,1167,2015-12-30
d_1798,1682,2015-12-31
d_1799,1253,2016-01-01
d_1800,1293,2016-01-02
d_1801,1615,2016-01-03
d_1802,1314,2016-01-04
d_1803,1330,2016-01-05
d_1804,1042,2016-01-06
d_1805,1727,2016-01-07
d_1806,1438,2016-01-08
d_1807,1800,2016-01-09
d_1808,1746,2016-01-10
d_1809,1626,2016-01-11
d_1810,1697,2016-01-12
d_1811,1514,2016-01-13
d_1812,1378,2016-01-14
d_1813,1616,2016-01-15
d_1814,1857,2016-01-16
d_1815,1921,2016-01-17
d_1816,1666,2016-01-18
d_1817,1337,2016-01-19
d_1818,1380,2016-01-20
d_1819,1308,2016-01-21
d_1820,1533,2016-01-22
d_1821,1689,2016-01-23
d_1822,1930,2016-01-24
d_1823,1568,2016-01-25
d_1824,1221,2016-01-26
d_1825,1215,2016-01-27
d_1826,1381,2016-01-28
d_1827,1521,2016-01-29
d_1828,1866,2016-01-30
d_1829,2118,2016-01-31
d_1830,1816,2016-02-01
d_1831,1358,2016-02-02
d_1832,1717,2016-02-03
d_1833,1422,2016-02-04
d_1834,1576,2016-02-05
d_1835,2039,2016-02-06
d_1836,2487,2016-02-07
d_1837,1653,2016-02-08
d_1838,1612,2016-02-09
d_1839,1618,2016-02-10
d_1840,2033,2016-02-11
d_1841,1936,2016-02-12
d_1842,2028,2016-02-13
d_1843,2129,2016-02-14
d_1844,1813,2016-02-15
d_1845,1621,2016-02-16
d_1846,1446,2016-02-17
d_1847,1453,2016-02-18
d_1848,1560,2016-02-19
d_1849,1971,2016-02-20
d_1850,2104,2016-02-21
d_1851,1439,2016-02-22
d_1852,1342,2016-02-23
d_1853,1383,2016-02-24
d_1854,1351,2016-02-25
d_1855,1351,2016-02-26
d_1856,1733,2016-02-27
d_1857,1998,2016-02-28
d_1858,1493,2016-02-29
d_1859,1634,2016-03-01
d_1860,1618,2016-03-02
d_1861,1677,2016-03-03
d_1862,1551,2016-03-04
d_1863,1774,2016-03-05
d_1864,1904,2016-03-06
d_1865,1951,2016-03-07
d_1866,1538,2016-03-08
d_1867,1348,2016-03-09
d_1868,1551,2016-03-10
d_1869,1822,2016-03-11
d_1870,2043,2016-03-12
d_1871,2005,2016-03-13
d_1872,1805,2016-03-14
d_1873,1875,2016-03-15
d_1874,1733,2016-03-16
d_1875,1486,2016-03-17
d_1876,1582,2016-03-18
d_1877,1781,2016-03-19
d_1878,2019,2016-03-20
d_1879,1571,2016-03-21
d_1880,1593,2016-03-22
d_1881,1485,2016-03-23
d_1882,1432,2016-03-24
d_1883,2000,2016-03-25
d_1884,2138,2016-03-26
d_1885,1973,2016-03-27
d_1886,1664,2016-03-28
d_1887,1208,2016-03-29
d_1888,1266,2016-03-30
d_1889,1383,2016-03-31
d_1890,1686,2016-04-01
d_1891,1764,2016-04-02
d_1892,2092,2016-04-03
d_1893,1548,2016-04-04
d_1894,1557,2016-04-05
d_1895,1634,2016-04-06
d_1896,1618,2016-04-07
d_1897,1645,2016-04-08
d_1898,2019,2016-04-09
d_1899,2112,2016-04-10
d_1900,1824,2016-04-11
d_1901,1742,2016-04-12
d_1902,1533,2016-04-13
d_1903,1579,2016-04-14
d_1904,1633,2016-04-15
d_1905,1930,2016-04-16
d_1906,2082,2016-04-17
d_1907,1524,2016-04-18
d_1908,1760,2016-04-19
d_1909,1526,2016-04-20
d_1910,1423,2016-04-21
d_1911,1664,2016-04-22
d_1912,1974,2016-04-23
d_1913,1777,2016-04-24
